,payer,ar_reason_code,label,rank
435,300316,004,others,0.009124087591240875
461,300316,045,others,0.009124087591240875
1089,300316,013,others,0.009124087591240875
772,300316,104,others,0.009124087591240875
767,300316,103,others,0.009124087591240875
652,300316,049,others,0.009124087591240875
648,300316,007,others,0.009124087591240875
601,300316,016,others,0.009124087591240875
598,300316,014,others,0.009124087591240875
1127,300316,110,others,0.009124087591240875
412,300316,167,others,0.009124087591240875
404,300316,068,others,0.009124087591240875
368,300316,010,others,0.009124087591240875
292,300316,043,others,0.009124087591240875
198,300316,044,others,0.009124087591240875
86,300316,065,others,0.009124087591240875
35,300316,006,006,0.0
8,300316,003,003,0.0
391,300334,006,others,0.0
439,300334,049,others,0.0
773,300334,003,others,0.0
1129,300334,103,others,0.0
83,300341,006,006,0.0744336569579288
256,300341,007,others,0.007874015748031496
268,300341,009,others,0.007874015748031496
374,300341,003,others,0.007874015748031496
824,300341,043,others,0.007874015748031496
1144,300341,012,others,0.007874015748031496
15,300354,006,006,0.008312020460358057
87,300354,043,043,0.0
140,300354,009,009,0.0
347,300354,003,others,0.0
349,300354,013,others,0.0
352,300354,036,others,0.0
442,300354,078,others,0.0
476,300354,007,others,0.0
656,300354,044,others,0.0
714,300354,016,others,0.0
780,300354,104,others,0.0
808,300354,010,others,0.0
1154,300354,109,others,0.0
264,300358,016,others,0.0
286,300358,006,others,0.0
814,300358,043,others,0.0
49,300368,006,006,0.15742397137745975
136,300368,036,036,0.10457516339869281
430,300368,067,others,0.0
447,300368,043,others,0.0
1135,300368,136,others,0.0
199,300369,006,others,0.05660377358490566
279,300369,036,others,0.05660377358490566
473,300369,003,others,0.05660377358490566
521,300369,007,others,0.05660377358490566
568,300369,136,others,0.05660377358490566
813,300369,103,others,0.05660377358490566
1103,300369,067,others,0.05660377358490566
1104,300369,043,others,0.05660377358490566
1126,300369,004,others,0.05660377358490566
194,300374,003,others,0.10101010101010101
221,300374,009,others,0.10101010101010101
320,300374,013,others,0.10101010101010101
540,300374,004,others,0.10101010101010101
765,300374,078,others,0.10101010101010101
809,300374,043,others,0.10101010101010101
810,300374,049,others,0.10101010101010101
1092,300374,104,others,0.10101010101010101
1093,300374,103,others,0.10101010101010101
1095,300374,044,others,0.10101010101010101
82,300374,006,006,0.05063291139240506
131,300374,007,007,0.0
745,300401,006,others,0.0
746,300401,003,others,0.0
326,300404,104,others,0.14814814814814814
334,300404,043,others,0.14814814814814814
413,300404,103,others,0.14814814814814814
536,300404,004,others,0.14814814814814814
659,300404,065,others,0.14814814814814814
684,300404,016,others,0.14814814814814814
744,300404,167,others,0.14814814814814814
815,300404,010,others,0.14814814814814814
816,300404,033,others,0.14814814814814814
1120,300404,068,others,0.14814814814814814
104,300404,006,006,0.03167420814479638
85,300404,007,007,0.0
94,300404,003,003,0.0
743,300433,006,others,0.0
818,300433,043,others,0.0
1109,300433,007,others,0.0
1114,300447,006,others,0.0
377,300448,006,others,0.0
443,300448,009,others,0.0
491,300448,007,others,0.0
833,300448,003,others,0.0
1110,300448,043,others,0.0
499,300450,007,others,0.0
742,300450,003,others,0.0
986,300450,018,others,0.0
1016,300450,043,others,0.0
190,300465,003,others,0.14953271028037382
515,300465,103,others,0.14953271028037382
607,300465,006,others,0.14953271028037382
739,300465,067,others,0.14953271028037382
907,300465,004,others,0.14953271028037382
911,300465,167,others,0.14953271028037382
913,300465,033,others,0.14953271028037382
912,300474,003,others,0.0
40,300495,006,006,0.03903903903903904
297,300495,003,others,0.0
360,300495,016,others,0.0
459,300495,007,others,0.0
500,300495,044,others,0.0
611,300495,010,others,0.0
922,300495,013,others,0.0
934,300495,043,others,0.0
379,300512,003,others,0.11428571428571428
664,300512,006,others,0.11428571428571428
737,300512,103,others,0.11428571428571428
823,300512,004,others,0.11428571428571428
925,300512,007,others,0.11428571428571428
665,300515,003,others,0.5
929,300515,049,others,0.5
195,300521,003,others,0.09243697478991597
475,300521,043,others,0.09243697478991597
497,300521,004,others,0.09243697478991597
620,300521,104,others,0.09243697478991597
715,300521,103,others,0.09243697478991597
734,300521,007,others,0.09243697478991597
939,300521,116,others,0.09243697478991597
940,300521,167,others,0.09243697478991597
66,300521,006,006,0.0024752475247524753
46,300521,016,016,0.0
93,300521,045,045,0.0
420,300523,003,others,0.0
545,300523,006,others,0.0
709,300523,103,others,0.0
827,300523,010,others,0.0
942,300523,004,others,0.0
365,300524,006,others,0.21212121212121213
706,300524,004,others,0.21212121212121213
707,300524,003,others,0.21212121212121213
733,300525,006,others,0.0
916,300609,006,others,0.0
76,300632,006,006,0.002849002849002849
145,300632,043,043,0.0
429,300632,044,others,0.0
653,300632,049,others,0.0
747,300632,003,others,0.0
637,300667,006,others,0.0
829,300667,003,others,0.0
908,300667,004,others,0.0
155,300681,003,003,0.11764705882352941
613,300681,078,others,0.05056179775280899
616,300681,012,others,0.05056179775280899
991,300681,018,others,0.05056179775280899
989,300681,065,others,0.05056179775280899
987,300681,104,others,0.05056179775280899
947,300681,109,others,0.05056179775280899
821,300681,014,others,0.05056179775280899
697,300681,010,others,0.05056179775280899
640,300681,103,others,0.05056179775280899
993,300681,016,others,0.05056179775280899
542,300681,043,others,0.05056179775280899
526,300681,004,others,0.05056179775280899
431,300681,049,others,0.05056179775280899
289,300681,113,others,0.05056179775280899
204,300681,007,others,0.05056179775280899
71,300681,006,006,0.024128686327077747
171,300681,009,009,0.02
130,300681,013,013,0.0
143,300681,044,044,0.0
612,300685,006,others,0.14285714285714285
999,300685,104,others,0.14285714285714285
152,300706,007,007,0.0
162,300706,009,009,0.0
165,300706,006,006,0.0
266,300706,078,others,0.0
317,300706,043,others,0.0
405,300706,044,others,0.0
490,300706,003,others,0.0
807,300706,016,others,0.0
1003,300706,010,others,0.0
1007,300706,109,others,0.0
176,300731,104,others,0.01107011070110701
196,300731,043,others,0.01107011070110701
296,300731,012,others,0.01107011070110701
392,300731,065,others,0.01107011070110701
556,300731,010,others,0.01107011070110701
557,300731,116,others,0.01107011070110701
614,300731,049,others,0.01107011070110701
680,300731,144,others,0.01107011070110701
757,300731,103,others,0.01107011070110701
790,300731,014,others,0.01107011070110701
1013,300731,016,others,0.01107011070110701
39,300731,044,044,0.005952380952380952
7,300731,003,003,0.005819295558958652
36,300731,006,006,0.0013698630136986301
68,300731,007,007,0.0
70,300731,004,004,0.0
981,300736,009,others,0.0
805,300739,009,others,0.0
238,300742,044,others,0.0
339,300742,006,others,0.0
478,300742,007,others,0.0
960,300742,010,others,0.0
962,300742,003,others,0.0
24,300743,006,006,0.013761467889908258
189,300743,007,others,0.0024937655860349127
209,300743,009,others,0.0024937655860349127
219,300743,078,others,0.0024937655860349127
241,300743,043,others,0.0024937655860349127
262,300743,003,others,0.0024937655860349127
345,300743,044,others,0.0024937655860349127
504,300743,012,others,0.0024937655860349127
507,300743,178,others,0.0024937655860349127
567,300743,004,others,0.0024937655860349127
689,300743,109,others,0.0024937655860349127
691,300743,016,others,0.0024937655860349127
753,300743,103,others,0.0024937655860349127
785,300743,010,others,0.0024937655860349127
786,300743,013,others,0.0024937655860349127
641,300752,006,others,0.0
966,300752,003,others,0.0
968,300752,033,others,0.0
969,300768,009,others,0.0
375,300771,006,others,0.0
538,300771,043,others,0.0
574,300771,103,others,0.0
630,300771,003,others,0.0
971,300771,007,others,0.0
218,300772,006,others,0.013888888888888888
688,300772,003,others,0.013888888888888888
793,300772,043,others,0.013888888888888888
976,300772,167,others,0.013888888888888888
211,300773,006,others,0.025974025974025976
633,300773,003,others,0.025974025974025976
787,300773,103,others,0.025974025974025976
979,300773,104,others,0.025974025974025976
980,300773,167,others,0.025974025974025976
2,null,null,others,0.0
